year,country,cluster,pop,life_expect,fertility
1955,Afghanistan,0,8891209,30.332,7.7
1960,Afghanistan,0,9829450,31.997,7.7
1965,Afghanistan,0,10997885,34.02,7.7
1970,Afghanistan,0,12430623,36.088,7.7
1975,Afghanistan,0,14132019,38.438,7.7
1980,Afghanistan,0,15112149,39.854,7.8
1985,Afghanistan,0,13796928,40.822,7.9
1990,Afghanistan,0,14669339,41.674,8.0
1995,Afghanistan,0,20881480,41.763,8.0
2000,Afghanistan,0,23898198,42.129,7.4792
2005,Afghanistan,0,29928987,43.828,7.0685
1955,Argentina,3,18927821,64.399,3.1265
1960,Argentina,3,20616009,65.142,3.0895
1965,Argentina,3,22283100,65.634,3.049
1970,Argentina,3,23962313,67.065,3.1455
1975,Argentina,3,26081880,68.481,3.44
1980,Argentina,3,28369799,69.942,3.15
1985,Argentina,3,30675059,70.774,3.053
1990,Argentina,3,33022202,71.868,2.9
1995,Argentina,3,35311049,73.275,2.63
2000,Argentina,3,37497728,74.34,2.35
2005,Argentina,3,39537943,75.32,2.254
1955,Aruba,3,53865,64.381,5.15
1960,Aruba,3,57203,66.606,4.399
1965,Aruba,3,59020,68.336,3.301
1970,Aruba,3,59039,70.941,2.651
1975,Aruba,3,59390,71.83,2.45
1980,Aruba,3,60266,74.116,2.358
1985,Aruba,3,64129,74.494,2.3
1990,Aruba,3,66653,74.108,2.2800000000000002
1995,Aruba,3,67836,73.011,2.208
2000,Aruba,3,69539,73.451,2.124
2005,Aruba,3,71566,74.239,2.04
1955,Australia,4,9277087,70.33,3.406
1960,Australia,4,10361273,70.93,3.274
1965,Australia,4,11439384,71.1,2.871
1970,Australia,4,12660160,71.93,2.535
1975,Australia,4,13771400,73.49,1.9889999999999999
1980,Australia,4,14615900,74.74,1.907
1985,Australia,4,15788300,76.32,1.859
1990,Australia,4,17022133,77.56,1.8599999999999999
1995,Australia,4,18116171,78.83,1.776
2000,Australia,4,19164620,80.37,1.756
2005,Australia,4,20090437,81.235,1.788
1955,Austria,1,6946885,67.48,2.52
1960,Austria,1,7047437,69.54,2.7800000000000002
1965,Austria,1,7270889,70.14,2.5300000000000002
1970,Austria,1,7467086,70.63,2.02
1975,Austria,1,7578903,72.17,1.6400000000000001
1980,Austria,1,7549433,73.18,1.62
1985,Austria,1,7559776,74.94,1.45
1990,Austria,1,7722953,76.04,1.47
1995,Austria,1,8047433,77.51,1.388
2000,Austria,1,8113413,78.98,1.3820000000000001
2005,Austria,1,8184691,79.829,1.42
1955,Bahamas,3,87138,62.405,4.305
1960,Bahamas,3,112234,64.209,4.503
1965,Bahamas,3,139205,65.795,3.794
1970,Bahamas,3,170323,66.515,3.444
1975,Bahamas,3,189139,67.199,3.221
1980,Bahamas,3,209944,67.874,3.16
1985,Bahamas,3,234988,69.524,2.62
1990,Bahamas,3,257253,69.171,2.6
1995,Bahamas,3,275303,68.472,2.4
2000,Bahamas,3,290075,71.068,2.1111
2005,Bahamas,3,301790,73.495,2.0221
1955,Bangladesh,0,49601520,39.348,6.76
1960,Bangladesh,0,54621538,41.216,6.85
1965,Bangladesh,0,60332117,43.453,6.6
1970,Bangladesh,0,67402621,45.252,6.15
1975,Bangladesh,0,76253310,46.923,5.6
1980,Bangladesh,0,88076996,50.009,5.25
1985,Bangladesh,0,99752733,52.819,4.629
1990,Bangladesh,0,109896945,56.018,4.117
1995,Bangladesh,0,119186448,59.412,3.5042999999999997
2000,Bangladesh,0,130406594,62.013,3.224
2005,Bangladesh,0,144319628,64.062,2.826
1955,Barbados,3,227255,62.57,4.67
1960,Barbados,3,232339,65.87,4.26
1965,Barbados,3,234980,67.62,3.45
1970,Barbados,3,238756,69.42,2.74
1975,Barbados,3,247147,71.27,2.19
1980,Barbados,3,251966,72.695,1.92
1985,Barbados,3,257446,74.027,1.75
1990,Barbados,3,262624,74.894,1.6
1995,Barbados,3,267907,74.912,1.5
2000,Barbados,3,273483,75.97,1.5
2005,Barbados,3,278870,77.296,1.5
1955,Belgium,1,8868475,69.24,2.496
1960,Belgium,1,9118700,70.25,2.644
1965,Belgium,1,9448100,70.94,2.392
