job,sex,year,count,perc
Accountant / Auditor,men,1850,708,0.000130960700321
Accountant / Auditor,men,1860,1805,0.00021400369011100002
Accountant / Auditor,men,1870,1310,9.9778818541e-05
Accountant / Auditor,men,1880,2295,0.000125359945547
Accountant / Auditor,men,1900,11753,0.00039586024425700004
Accountant / Auditor,men,1910,0,0.0
Accountant / Auditor,men,1920,111209,0.002648560867779
Accountant / Auditor,men,1930,181482,0.0037242221329140002
Accountant / Auditor,men,1940,0,0.0
Accountant / Auditor,men,1950,330352,0.005438706169022
Accountant / Auditor,men,1960,425002,0.004890279670211
Accountant / Auditor,men,1970,575667,0.00526869370494
Accountant / Auditor,men,1980,661606,0.0051485711156040006
Accountant / Auditor,men,1990,814842,0.005464129280321001
Accountant / Auditor,men,2000,866460,0.005153746569321001
Accountant / Auditor,women,1850,0,0.0
Accountant / Auditor,women,1860,0,0.0
Accountant / Auditor,women,1870,0,0.0
Accountant / Auditor,women,1880,0,0.0
Accountant / Auditor,women,1900,807,2.7181078628e-05
Accountant / Auditor,women,1910,0,0.0
Accountant / Auditor,women,1920,15746,0.00037500777296800005
Accountant / Auditor,women,1930,14657,0.000300778720766
Accountant / Auditor,women,1940,0,0.0
Accountant / Auditor,women,1950,56117,0.0009238747580970001
Accountant / Auditor,women,1960,112853,0.0012985414930330001
Accountant / Auditor,women,1970,248441,0.0022738137373670003
Accountant / Auditor,women,1980,452783,0.0035235252936590003
Accountant / Auditor,women,1990,949683,0.006368339736198001
Accountant / Auditor,women,2000,1217596,0.007242320716270001
Actor,men,1850,506,9.359620672700001e-05
Actor,men,1860,401,4.7543202069e-05
Actor,men,1870,1507,0.00011478372484000001
Actor,men,1880,3983,0.000217563687631
Actor,men,1900,10449,0.00035193939353700003
Actor,men,1910,15867,0.00040758919940700006
Actor,men,1920,14020,0.000333901243301
Actor,men,1930,28815,0.000591317380015
Actor,men,1940,12428,0.000238856332509
Actor,men,1950,10678,0.00017579583133300002
Actor,men,1960,10461,0.000120369352685
Actor,men,1970,11726,0.00010732020835600001
Actor,men,1980,0,0.0
Actor,men,1990,0,0.0
Actor,men,2000,29975,0.000178292769909
Actor,women,1850,0,0.0
Actor,women,1860,100,1.1856160116e-05
Actor,women,1870,200,1.5233407410000001e-05
Actor,women,1880,1994,0.00010891840149000001
Actor,women,1900,6736,0.00022687948654100001
Actor,women,1910,14106,0.00036235288629500004
Actor,women,1920,11001,0.00026200054048100004
Actor,women,1930,19210,0.00039421158667600004
Actor,women,1940,8750,0.000168168080902
Actor,women,1950,7067,0.00011634661360100001
Actor,women,1960,8069,9.284583757e-05
Actor,women,1970,11127,0.000101837963362
Actor,women,1980,0,0.0
Actor,women,1990,0,0.0
Actor,women,2000,25931,0.00015423885960000002
Advertising Agent,men,1850,0,0.0
Advertising Agent,men,1860,0,0.0
Advertising Agent,men,1870,703,5.354542704900001e-05
Advertising Agent,men,1880,499,2.7256911907000003e-05
Advertising Agent,men,1900,4526,0.00015244307542800002
